year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2014,10,0.0435118149,0.0385902899,-0.004921525,0.057706273,0.0514126364,-0.006293637,0.0541944809,0.052741963,-0.001452518
2014,11,0.0466168638,0.0155684546,-0.031048409,0.0303534557,0.0146550173,-0.015698438,0.0318874492,0.0131718819,-0.018715567
2014,12,0.0354968694,0.030270107,-0.005226762,0.0291912949,0.0203300233,-0.008861272,0.0212332582,0.0247732106,0.0035399524
2015,1,-0.013532958,-0.042593331,-0.029060373,0.0003440672,-0.020344313,-0.02068838,-0.006929056,-0.02308737,-0.016158314
2015,2,-0.021458924,0.0534063532,0.0748652768,-0.006950223,0.0616455441,0.0685957673,-0.010543459,0.0523056679,0.0628491274
2015,3,-0.006810675,-0.009448849,-0.002638173,0.0003650998,0.0016106326,0.0012455328,0.010040979,0.012966668,0.002925689
2015,4,-0.031880668,-0.000498229,0.0313824385,-0.043286883,-0.02071154,0.0225753433,-0.025036173,-0.018435034,0.0066011388
2015,5,0.0146365206,0.0086241113,-0.006012409,0.0310832483,0.026911215,-0.004172033,0.0160104113,0.0183257489,0.0023153376
2015,6,-0.0031658,-0.022299466,-0.019133665,-0.012328011,-0.016947595,-0.004619584,-0.013929427,-0.019012645,-0.005083218
2015,7,0.020326919,-0.043627377,-0.063954296,0.0064877194,-0.027313814,-0.033801534,0.0069050732,-0.028056527,-0.0349616
2015,8,-0.013073951,-0.045599785,-0.032525834,-0.014983717,-0.050595868,-0.035612151,-0.015097436,-0.051866284,-0.036768848
2015,9,0.0532129021,-0.050983626,-0.104196528,0.0327404045,-0.046941963,-0.079682367,0.0293029389,-0.050556725,-0.079859664
2015,10,0.0022823729,0.0737846587,0.0715022858,-0.00879613,0.0790660437,0.0878621733,0.0042549277,0.0689818983,0.0647269706
2015,11,0.0020065776,0.0136425421,0.0116359645,0.0016606513,0.0184745013,0.01681385,0.0154107542,0.0241095178,0.0086987636
2015,12,0.015220435,-0.05720734,-0.072427775,0.0083331883,-0.043610193,-0.051943381,0.0137253534,-0.053903836,-0.06762919
2016,1,0.0433140701,-0.076922957,-0.120237027,0.0556799552,-0.069776439,-0.125456394,0.0445280808,-0.072147609,-0.11667569
2016,2,0.0118060771,0.0086354757,-0.003170601,-0.012093891,-0.019059131,-0.006965239,-0.007066631,-0.007845021,-0.00077839
2016,3,-0.01489859,0.0864567647,0.1013553547,-0.013674454,0.0781937912,0.0918682454,0.0046441077,0.0812850212,0.0766409135
2016,4,-0.044741232,0.0349776283,0.0797188605,-0.022509347,0.0382285238,0.0607378709,-0.021280713,0.0249562357,0.0462369485
2016,5,-0.007955599,0.0036226182,0.0115782176,-0.021243096,0.0081471311,0.0293902266,-0.002036098,0.0145103776,0.0165464758
2016,6,-0.002484801,-0.004327508,-0.001842707,0.0170001682,0.0110954892,-0.005904679,0.0005341759,-0.00081536,-0.001349535
2016,7,0.0111583874,0.0529258693,0.041767482,0.0109280823,0.0509008605,0.0399727782,0.0158261341,0.0520643918,0.0362382577
2016,8,0.020869394,0.0413918506,0.0205224565,0.0193628339,0.0280550629,0.008692229,0.0257830096,0.033141239,0.0073582295
2016,9,0.0166804571,0.0321958909,0.0155154338,0.001549865,0.0309628218,0.0294129567,0.0215619418,0.0332751266,0.0117131848
2016,10,0.0041253939,-0.04147663,-0.045602024,0.0035523847,-0.037342774,-0.040895158,0.0152341897,-0.034263428,-0.049497617
2016,11,0.066981334,0.1368906855,0.0699093515,0.0639198345,0.1131385002,0.0492186657,0.0427580057,0.1174107958,0.0746527901
2016,12,0.0042419157,0.0163612406,0.012119325,0.0057751588,0.0184445056,0.0126693468,0.0085920297,0.0211455566,0.0125535269
2017,1,0.0025488335,0.0233366428,0.0207878094,-0.007491007,0.0223350683,0.0298260751,-0.006959617,0.0158121522,0.0227717687
2017,2,0.0011302224,0.007473392,0.0063431696,0.0031945619,0.0152972066,0.0121026447,-0.016501251,-0.000119114,0.0163821368
2017,3,-0.021275743,0.0068740257,0.0281497684,-0.037064226,-0.003990089,0.033074137,-0.031157622,0.0083125459,0.0394701682
2017,4,0.007167844,0.0067146472,-0.000453197,0.0019854825,0.0051047218,0.0031192392,0.0166921584,0.0215001486,0.0048079902
2017,5,-0.012334824,-0.017071242,-0.004736418,-0.024585114,-0.005962874,0.0186222403,-0.027486738,-0.011918511,0.0155682277
2017,6,-0.012947154,0.0192398157,0.0321869701,-0.000141043,0.0165897964,0.0167308392,-0.015553177,0.0138602837,0.029413461
2017,7,0.0114022246,0.015575328,0.0041731034,0.0084318887,0.021834295,0.0134024064,0.0041201961,0.010620164,0.0064999679
2017,8,0.0114153237,-0.014433476,-0.025848799,0.0149054706,-0.0073215,-0.022226971,0.0056003043,-0.018204932,-0.023805236
2017,9,0.0390230529,0.0880247109,0.049001658,0.0410708047,0.0777733146,0.03670251,0.0405785127,0.0791448235,0.0385663108
2017,10,0.0099977791,0.0041993074,-0.005798472,0.0001060467,0.0184042541,0.0182982073,0.0061238208,0.0156313454,0.0095075246
2017,11,-0.011643817,0.0185359071,0.0301797245,-0.016709306,0.0139991789,0.0307084845,-0.009768594,0.0191128937,0.028881488
2017,12,0.0109520461,0.036771342,0.0258192959,0.0140431022,0.0367443738,0.0227012716,0.0138889778,0.0309073103,0.0170183325
